フォークランド諸島,スタンリー,-58 ,-51 
アルゼンチン,マル・デル・プラタ,-57 ,-38 
ウルグアイ,モンテビデオ,-56 ,-35 
スリナム,パラマリボ,-55 ,6 
ブラジル,カンポ・グランデ,-54 ,-20 
カナダ,セント・ジョンズ,-52 ,47 
グリーンランド,ゴット・ホープ,-51 ,64 
ブラジル,ポルト・アレグレ,-51 ,-30 
ブラジル,サン・ホセ・ド・リオ・プレト,-49 ,-20 
ブラジル,クリチバ,-49 ,-25 
ブラジル,ベレン,-48 ,-1 
ブラジル,ブラジリア,-48 ,-15 
ブラジル,サンパウロ,-46 ,-23 
ブラジル,ベロ・オリゾンテ,-44 ,-20 
ブラジル,リオデジャネイロ,-43 ,-23 
ブラジル,テレジナ,-42 ,-5 
ブラジル,ビトリア,-40 ,-20 
ブラジル,フォルタレザ,-38 ,-3 
ブラジル,サルバドル,-38 ,-13 
ブラジル,レシフェ,-35 ,-8 
アイスランド,レイキャビク,-22 ,64 
セネガル,ダカール,-17 ,14 
モーリタニア,ヌアクショット,-16 ,18 
カナリア諸島,グラン・カナリア,-15 ,28 
ギニア,コナクリ,-13 ,9 
シエラレオネ,フリータウン,-13 ,8 
リベリア,モンロビア,-10 ,6 
アイルランド,コーク,-8 ,52 
スペイン,ラ・コルニャ,-8 ,43 
マリ,バマコ,-8 ,12 
モロッコ,カサブランカ,-7 ,33 
アイルランド,ダブリン,-6 ,53 
スペイン,セビーリャ,-6 ,37 
イギリス,ベルファスト,-6 ,54 
スペイン,オビエド,-6 ,43 
スペイン,バリャドリード,-4 ,41 
フランス,ブレスト,-4 ,48 
スペイン,マラガ,-4 ,36 
イギリス,プリマス,-4 ,50 
コートジボワール,アビジャン,-4 ,5 
マリ,タウデニ,-4 ,22 
スペイン,マドリッド,-3 ,40 
イギリス,エジンバラ,-3 ,56 
イギリス,マンチェスター,-2 ,53 
アルジェリア,ベシャール,-2 ,31 
イギリス,アバディーン,-2 ,57 
モロッコ,ウジダ,-2 ,34 
イギリス,バーミンガム,-2 ,52 
スペイン,パンプロナ,-1 ,42 
フランス,ナント,-1 ,47 
イギリス,サンダーランド,-1 ,55 
スペイン,ムルシア,-1 ,38 
スペイン,サラゴサ,-1 ,41 
アルジェリア,オラン,0 ,35 
フランス,ボルドー,0 ,45 
スペイン,バレンシア,0 ,39 
フランス,カーン,0 ,49 
ガーナ,アクラ,0 ,5 
イギリス,ロンドン,0 ,51 
マリ,ガオ,0 ,16 
フランス,リモージュ,1 ,46 
イギリス,ノーリッチ,1 ,52 
フランス,トゥールーズ,1 ,43 
ブルキナ・ファソ,ディアパガ,1 ,12 
フランス,オルレアン,2 ,48 
スペイン,バルセロナ,2 ,41 
ベナン,コトヌー,2 ,6 
フランス,パリ,2 ,49 
アルジェリア,インサラー,2 ,27 
スペイン,パルマ,2 ,39 
アルジェリア,アルジェ,3 ,36 
フランス,リール,3 ,50 
ナイジェリア,オグボモショ,4 ,8 
ベルギー,ブリュッセル,4 ,51 
フランス,リヨン,5 ,45 
オランダ,アムステルダム,5 ,52 
フランス,ディジョン,5 ,47 
ノルウェー,ベルゲン,5 ,60 
フランス,マルセイユ,5 ,43 
ノルウェー,スタヴァンゲル,5 ,59 
フランス,ナンシー,6 ,48 
オランダ,フローニンゲン,6 ,53 
ドイツ,ケルン,7 ,51 
ナイジェリア,アブジャ,7 ,9 
フランス,ニース,7 ,43 
ナイジェリア,エヌグ,7 ,6 
イタリア,トリノ,7 ,45 
ニジェール,アガデス,8 ,17 
ナイジェリア,カノ,8 ,12 
スイス,チューリッヒ,8 ,47 
ドイツ,フランクフルト,8 ,50 
ガボン,ポール・ジャンティル,8 ,0 
イタリア,カリアリ,9 ,39 
イタリア,ミラノ,9 ,45 
ドイツ,シュトゥットガルト,9 ,48 
カメルーン,ドゥアラ,9 ,4 
ドイツ,ハノーバー,9 ,52 
デンマーク,オールボー,10 ,57 
ドイツ,ハンブルク,10 ,53 
チュニジア,チュニス,10 ,36 
デンマーク,オーゼンセ,10 ,55 
ノルウェー,トロンヘイム,10 ,63 
ドイツ,ニュルンベルク,11 ,49 
ノルウェー,オスロ,11 ,60 
イタリア,フィレンツェ,11 ,43 
ドイツ,ミュンヘン,11 ,48 
コンゴ,ポワント・ノワール,12 ,-4 
イタリア,ローマ,12 ,41 
イタリア,ベネチア,12 ,45 
デンマーク,コペンハーゲン,12 ,55 
オーストリア,ザルツブルク,13 ,47 
リビア,トリポリ,13 ,33 
